,Unnamed: 0,point_id,u,v,street_id,street,longitude,latitude
1280,91190,91190,738203892,8199781383,31534,"LINESTRING (-83.0368053 42.3372544, -83.03670619999998 42.3372971, -83.0362255 42.337504, -83.03560949999999 42.33776919999999)",-83.0360290367972,42.337588581357466
1281,91191,91191,738203893,738203935,31535,"LINESTRING (-83.03686899999998 42.337347799999996, -83.03693079999998 42.3374424, -83.0373065 42.338005700000004, -83.0377038 42.338585599999995, -83.03773739999998 42.3386365)",-83.03706657030949,42.337645965701626
1282,91192,91192,738203893,738203935,31535,"LINESTRING (-83.03686899999998 42.337347799999996, -83.03693079999998 42.3374424, -83.0373065 42.338005700000004, -83.0377038 42.338585599999995, -83.03773739999998 42.3386365)",-83.0372651839583,42.3379437536771
1284,91194,91194,738203922,738203935,31536,"LINESTRING (-83.03780589999998 42.3387401, -83.037776 42.33869500000001, -83.03773739999998 42.3386365)",-83.03778301724628,42.33870558454499
1285,91195,91195,738203922,738203935,31536,"LINESTRING (-83.03780589999998 42.3387401, -83.037776 42.33869500000001, -83.03773739999998 42.3386365)",-83.03776019519823,42.33867104713343
1286,91213,91213,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06345276840747,42.335389150141054
1287,91214,91214,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06301370433445,42.33545906673631
1288,91215,91215,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06257256080411,42.33552150723968
1289,91216,91216,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.0621303049164,42.33557886984232
1290,91217,91217,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06168514656596,42.335623074996505
1291,91218,91218,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06124013420946,42.33566807954694
1293,91220,91220,780939828,62997661,31543,"LINESTRING (-83.06389359999999 42.3353709, -83.063723 42.33534829999999, -83.06354599999999 42.335374, -83.063082 42.3354494, -83.06245179999999 42.3355386, -83.0623248 42.3355566, -83.06225289999999 42.335566799999995, -83.06182629999999 42.3356088, -83.0609156 42.33570089999999, -83.06058989999998 42.33575989999999, -83.0603133 42.33582619999999, -83.0600719 42.33589949999999, -83.05998269999999 42.33592389999999, -83.05987209999999 42.33596159999999)",-83.06036595788274,42.33581357810507
1294,91221,91221,822359968,62618560,31544,"LINESTRING (-83.0392668 42.330747599999995, -83.039231 42.33076399999999, -83.0390996 42.33081649999999, -83.03899969999999 42.3308564)",-83.03917860348484,42.33078493468596
1295,91222,91222,822359968,62618560,31544,"LINESTRING (-83.0392668 42.330747599999995, -83.039231 42.33076399999999, -83.0390996 42.33081649999999, -83.03899969999999 42.3308564)",-83.03908915495364,42.330820671746416
1296,91225,91225,822360216,62619027,31546,"LINESTRING (-83.04018839999999 42.3307159, -83.04094389999999 42.3303848, -83.0410255 42.3303502)",-83.04046720638028,42.33059371252254
1297,91226,91226,822360216,62619027,31546,"LINESTRING (-83.04018839999999 42.3307159, -83.04094389999999 42.3303848, -83.0410255 42.3303502)",-83.0407460127606,42.33047152480773
1298,91232,91232,828459279,4948164041,31549,"LINESTRING (-83.0643689 42.3400297, -83.0643008 42.339916699999996)",-83.06434619999999,42.3399920333559
1299,91233,91233,828459279,4948164041,31549,"LINESTRING (-83.0643689 42.3400297, -83.0643008 42.339916699999996)",-83.06432350000001,42.33995436668923
1301,91316,91316,833652919,333441539,31590,"LINESTRING (-83.0470716 42.3319329, -83.047049 42.33188229999999, -83.04703819999999 42.3318498, -83.0470294 42.331805, -83.0470278 42.33168570000001)",-83.04702892351747,42.33176947229595
1303,91318,91318,833652937,833652919,31591,"LINESTRING (-83.0468653 42.332167299999995, -83.04692109999999 42.33213859999999, -83.0469642 42.33211289999999, -83.0469779 42.3321044, -83.0469928 42.3320936, -83.04700439999999 42.3320845, -83.04702259999999 42.33206520000001, -83.0470381 42.3320463, -83.0470471 42.332025400000006, -83.04705139999999 42.3320063, -83.0470716 42.3319329)",-83.04704554493651,42.33202901120346
1305,91320,91320,833652937,333440892,31592,"LINESTRING (-83.0468653 42.332167299999995, -83.04707529999999 42.33218039999999, -83.04711669999999 42.33218529999999, -83.0471253 42.3321867, -83.0471616 42.332195, -83.0472016 42.3322109, -83.0472469 42.332236099999996, -83.0472959 42.3322838, -83.0473816 42.3323641)",-83.04725439470612,42.33224339586931
1306,91363,91363,1214021236,1254729633,31615,"LINESTRING (-83.0578769 42.3322705, -83.0577253 42.332320599999996)",-83.05782636666667,42.33228720000444
